Discipline,Male,Female,Total,TOTAL SUM,Fraction,Percentage
Arts,4390688,4958599,9349287,28596438,0.3269388656,32.69388656
Science,2309286,2404015,4713301,28596438,0.164821262,16.4821262
Commerce,2064394,1966492,4030886,28596438,0.1409576256,14.09576256
Engineering,2739712,1112476,3852188,28596438,0.1347086655,13.47086655
Education,511255,938534,1449789,28596438,0.05069823731,5.069823731
Medicine,470891,725867,1196758,28596438,0.04184989753,4.184989753
Social Science,440435,464880,905315,28596438,0.03165831353,3.165831353
IT,441062,306265,747327,28596438,0.0261335695,2.61335695
Management,405498,245000,650498,28596438,0.02274751841,2.274751841
Law,264725,133859,398584,28596438,0.01393823944,1.393823944
Other,633285,669533,1302505,743507388,0.04554780564,4.554780564